condition,condition_label,model,evaluation_protocol,evaluation_population,n_splits,fold_assignment_sha256,n_test,n_test_areas,n_test_countries,test_key_sha256,actual_phase3plus_count,predicted_phase3plus_count,true_positive,false_positive,false_negative,true_negative,nonpositive_cumulative_prediction_count,phase3plus_precision,phase3plus_precision_undefined_reason,baseline_phase3plus_precision,phase3plus_precision_signed_delta,phase3plus_precision_absolute_delta,phase3plus_recall,phase3plus_recall_undefined_reason,baseline_phase3plus_recall,phase3plus_recall_signed_delta,phase3plus_recall_absolute_delta,overall_accuracy,baseline_overall_accuracy,overall_accuracy_signed_delta,overall_accuracy_absolute_delta,phase3plus_r2,phase3plus_r2_undefined_reason,phase3plus_r2_raw,phase3plus_r2_raw_undefined_reason,baseline_phase3plus_r2,phase3plus_r2_signed_delta,phase3plus_r2_absolute_delta
baseline_with_lat_lon,Baseline with latitude/longitude,Forecasting,fixed_2022_temporal_test,temporal_test_2022_1170,1,,1170,646,27,288059e7dad989ecfa5e634c01b6ec39282a81e22f17aa28625bad76455fe6c2,879,1067,827,240,52,51,0,0.77507029053420806,,0.77507029053420806,0,0,0.9408418657565415,,0.9408418657565415,0,0,0.6495726495726496,0.6495726495726496,0,0,0.24899857049868279,,0.24806540191173954,,0.24899857049868279,0,0
baseline_with_lat_lon,Baseline with latitude/longitude,Nowcasting,fixed_2022_temporal_test,temporal_test_2022_1170,1,,1170,646,27,288059e7dad989ecfa5e634c01b6ec39282a81e22f17aa28625bad76455fe6c2,879,1065,828,237,51,54,0,0.77746478873239433,,0.77746478873239433,0,0,0.94197952218430037,,0.94197952218430037,0,0,0.65384615384615385,0.65384615384615385,0,0,0.252784701177865,,0.2543868927430617,,0.252784701177865,0,0
baseline_with_lat_lon,Baseline with latitude/longitude,Contemporaneous,random_5fold_row_cv,random_5fold_full_oof_5575,5,bc2b0a13def3c2979b562236cedbeff0cc030bf67d4b5de9160f8b916937b099,5575,1198,29,f540e216e9ee286c7502b3aa465fe222a66a1a87eec014158d0db9ace13f6651,3409,3867,3083,784,326,1382,0,0.79725885699508658,,0.79725885699508658,0,0,0.90437078322088593,,0.90437078322088593,0,0,0.69345291479820625,0.69345291479820625,0,0,0.64161899861528793,,0.64221096145821099,,0.64161899861528793,0,0
no_lat_lon,No latitude/longitude,Forecasting,fixed_2022_temporal_test,temporal_test_2022_1170,1,,1170,646,27,288059e7dad989ecfa5e634c01b6ec39282a81e22f17aa28625bad76455fe6c2,879,1063,839,224,40,67,0,0.78927563499529629,,0.77507029053420806,0.014205344461088232,0.014205344461088232,0.95449374288964728,,0.9408418657565415,0.013651877133105783,0.013651877133105783,0.67435897435897441,0.6495726495726496,0.024786324786324809,0.024786324786324809,0.21668006908183524,,0.21528741507786719,,0.24899857049868279,-0.032318501416847556,0.032318501416847556
no_lat_lon,No latitude/longitude,Nowcasting,fixed_2022_temporal_test,temporal_test_2022_1170,1,,1170,646,27,288059e7dad989ecfa5e634c01b6ec39282a81e22f17aa28625bad76455fe6c2,879,1057,839,218,40,73,0,0.79375591296121095,,0.77746478873239433,0.016291124228816622,0.016291124228816622,0.95449374288964728,,0.94197952218430037,0.012514220705346912,0.012514220705346912,0.67606837606837611,0.65384615384615385,0.022222222222222254,0.022222222222222254,0.22342854816057922,,0.22353919525441746,,0.252784701177865,-0.02935615301728578,0.02935615301728578
no_lat_lon,No latitude/longitude,Contemporaneous,random_5fold_row_cv,random_5fold_full_oof_5575,5,bc2b0a13def3c2979b562236cedbeff0cc030bf67d4b5de9160f8b916937b099,5575,1198,29,f540e216e9ee286c7502b3aa465fe222a66a1a87eec014158d0db9ace13f6651,3409,3915,3089,826,320,1340,0,0.78901660280970631,,0.79725885699508658,-0.0082422541853802711,0.0082422541853802711,0.9061308301554708,,0.90437078322088593,0.001760046934584869,0.001760046934584869,0.68609865470852016,0.69345291479820625,-0.0073542600896860932,0.0073542600896860932,0.62817377520323492,,0.62849756672581281,,0.64161899861528793,-0.013445223412053009,0.013445223412053009
knn5_spatial_means,KNN-5 spatial means,Forecasting,fixed_2022_temporal_test,temporal_test_2022_1170,1,,1170,646,27,288059e7dad989ecfa5e634c01b6ec39282a81e22f17aa28625bad76455fe6c2,879,1044,831,213,48,78,0,0.79597701149425293,,0.77507029053420806,0.020906720960044867,0.020906720960044867,0.94539249146757676,,0.9408418657565415,0.004550625711035261,0.004550625711035261,0.67094017094017089,0.6495726495726496,0.021367521367521292,0.021367521367521292,0.13416533353135807,,0.1351297372985456,,0.24899857049868279,-0.11483323696732473,0.11483323696732473
knn5_spatial_means,KNN-5 spatial means,Nowcasting,fixed_2022_temporal_test,temporal_test_2022_1170,1,,1170,646,27,288059e7dad989ecfa5e634c01b6ec39282a81e22f17aa28625bad76455fe6c2,879,1033,830,203,49,88,0,0.80348499515972893,,0.77746478873239433,0.026020206427334602,0.026020206427334602,0.944254835039818,,0.94197952218430037,0.0022753128555176305,0.0022753128555176305,0.67350427350427355,0.65384615384615385,0.019658119658119699,0.019658119658119699,0.14079651171710994,,0.14004602244884323,,0.252784701177865,-0.11198818946075506,0.11198818946075506
knn5_spatial_means,KNN-5 spatial means,Contemporaneous,random_5fold_row_cv,random_5fold_full_oof_5575,5,bc2b0a13def3c2979b562236cedbeff0cc030bf67d4b5de9160f8b916937b099,5575,1198,29,f540e216e9ee286c7502b3aa465fe222a66a1a87eec014158d0db9ace13f6651,3409,3868,3108,760,301,1406,0,0.80351602895553254,,0.79725885699508658,0.0062571719604459508,0.0062571719604459508,0.9117043121149897,,0.90437078322088593,0.0073335288941037691,0.0073335288941037691,0.69955156950672648,0.69345291479820625,0.0060986547085202236,0.0060986547085202236,0.66329381015121802,,0.66341562767272233,,0.64161899861528793,0.021674811535930094,0.021674811535930094
d200_spatial_means,200 km spatial means,Forecasting,fixed_2022_temporal_test,temporal_test_2022_1170,1,,1170,646,27,288059e7dad989ecfa5e634c01b6ec39282a81e22f17aa28625bad76455fe6c2,879,1025,822,203,57,88,0,0.80195121951219517,,0.77507029053420806,0.026880928977987106,0.026880928977987106,0.93515358361774747,,0.9408418657565415,-0.0056882821387940208,0.0056882821387940208,0.66581196581196578,0.6495726495726496,0.016239316239316182,0.016239316239316182,0.13139665036997972,,0.1324121483744265,,0.24899857049868279,-0.11760192012870307,0.11760192012870307
d200_spatial_means,200 km spatial means,Nowcasting,fixed_2022_temporal_test,temporal_test_2022_1170,1,,1170,646,27,288059e7dad989ecfa5e634c01b6ec39282a81e22f17aa28625bad76455fe6c2,879,1023,823,200,56,91,0,0.80449657869012703,,0.77746478873239433,0.027031789957732699,0.027031789957732699,0.93629124004550623,,0.94197952218430037,-0.0056882821387941318,0.0056882821387941318,0.6726495726495727,0.65384615384615385,0.018803418803418848,0.018803418803418848,0.13586745456728588,,0.13721603784666347,,0.252784701177865,-0.11691724661057912,0.11691724661057912
d200_spatial_means,200 km spatial means,Contemporaneous,random_5fold_row_cv,random_5fold_full_oof_5575,5,bc2b0a13def3c2979b562236cedbeff0cc030bf67d4b5de9160f8b916937b099,5575,1198,29,f540e216e9ee286c7502b3aa465fe222a66a1a87eec014158d0db9ace13f6651,3409,3842,3088,754,321,1412,0,0.80374804789172305,,0.79725885699508658,0.0064891908966364653,0.0064891908966364653,0.90583748899970662,,0.90437078322088593,0.0014667057788206872,0.0014667057788206872,0.69793721973094169,0.69345291479820625,0.004484304932735439,0.004484304932735439,0.67975549565278903,,0.68024444580052057,,0.64161899861528793,0.038136497037501105,0.038136497037501105
